OGar Server - Game Mode: Free For All - Running Time: 19sec
ID:    1, Nick: [BOT] Belgium  , Score:     31, Cells:  1, Status: 1 IP: BOT
ID:    2, Nick: [BOT] Estonia  , Score:     60, Cells:  1, Status: 1 IP: BOT
ID:    3, Nick: [BOT] 9gag     , Score:     34, Cells:  1, Status: 1 IP: BOT
ID:    4, Nick: [BOT] Bulgaria , Score:     44, Cells:  1, Status: 1 IP: BOT
ID:    5, Nick: [BOT] Argentina, Score:     60, Cells:  1, Status: 1 IP: BOT
ID:    6, Nick: [BOT] Japan    , Score:     18, Cells:  1, Status: 1 IP: BOT
ID:    7, Nick: [BOT] China    , Score:     36, Cells:  1, Status: 1 IP: BOT
ID:    8, Nick: [BOT] Bosnia   , Score:     35, Cells:  1, Status: 1 IP: BOT
ID:    9, Nick: [BOT] tumblr   , Score:     42, Cells:  1, Status: 1 IP: BOT
ID:   10, Nick: [BOT] Hungary  , Score:     39, Cells:  1, Status: 1 IP: BOT
ID:   11, Nick: neila          , Score:     21, Cells:  1, Status: 1 IP: 127.0.0.1
